Autor,Descargas,Fecha,Link,Resumen,Titulo
"Villa Gómez, Juan David,Sarmiento Rojas, Juan Camilo",0,"2023, ",http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-192X2023000100007&lang=es,"Resumen La presente investigación explora lógicas de polarización política entre ocho militantes de dos partidos antagónicos: Centro Democrático (CD) y Colombia Humana (CH), significativos exponentes de derecha e izquierda en la política colombiana. Los objetivos se centran en comprender las creencias sociales del grupo político y el partido contrario respecto a determinados temas, sobre la agrupación adversaria y sus militantes, al igual que la orientación emocional en relación con el contrario. La mirada teórica se desarrolla desde el realismo crítico y la psicología social y política, en perspectiva emancipatoria, además, es guiada por los trabajos de Bar-Tal (2007, 2013, 2017), Blanco (2007), Martín-Baró (1990, 2003), Mouffe (2007), Tajfel (1984) y el marco de la macroinvestigación “Barreras psicosociales para la construcción de la paz y la reconciliación en Colombia”. A partir del método cualitativo con enfoque hermenéutico, se realizaron ocho entrevistas semiestructuradas a militantes de ambos partidos (cuatro de cada uno), haciendo un análisis de contenido a través de matrices intertextuales y una codificación teórica de primero y segundo nivel. De este modo, se comprende la forma como se tejen y desarrollan las creencias sociales sobre el adversario político, leído como enemigo, en un entramado de significación que lo interpreta de manera negativa, en términos morales y políticos, a partir de estereotipos, prejuicios y estigmas que obturan las posibilidades de diálogo y consenso, fortaleciendo perspectivas que invitan a su silenciamiento, dilución, cooptación, derrota y exclusión. Todo ello acentúa la polarización como expresión del trauma psicosocial dejado por décadas de conflicto armado en Colombia, convirtiéndose en barrera para la construcción de la paz y la reconciliación.",Polarización y creencias sociales en algunos militantes de dos partidos políticos ideológicamente antagónicos en el marco del posconflicto en Colombia
"Chaves López, Lizeth Daniela,Narváez-Burbano, Jonnathan Harvey",0,"2023, ",http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-192X2023000100065&lang=es,"Resumen La deprivación sociocultural es un fenómeno multicausal que surge como consecuencia de la deficiente estimulación en los sistemas nucleares familia, escuela y comunidad, lo cual repercute en el desarrollo de los NNA. El presente estudio se orienta desde el paradigma cualitativo con enfoque biográfico-narrativo. Las técnicas de recolección de información fueron las entrevistas semiestructuradas y el grupo de discusión. Además, contó con la participación de 20 adolescentes entre los 14 y 17 años de establecimientos educativos de la ciudad de Pasto, Colombia. Como resultados, se resalta que las narrativas de los participantes dan cuenta de deficiencias en la fuentes de estimulación en los tres sistemas nucleares: en el sistema familiar, los estilos parentales permisivos dificultan los procesos efectivos de regulación al no proveer reglas claras; en el sistema escolar, se imponen modelos de enseñanza tradicional, donde los vínculos docente-estudiante tienden a ser distantes, lo que obstaculiza una oportuna mediación del aprendizaje; mientras que en el sistema comunitario al no existir procesos de integración vecinal, los participantes perciben vínculos afectivos débiles y la ausencia de soporte social comunitario. En conclusión, las vivencias de los adolescentes en los sistemas nucleares están permeadas por experiencias de estimulación inadecuadas, lo que influye de manera negativa sobre el desarrollo cognitivo, afectivo y social de los jóvenes tanto en la modificación de sus estructuras intelectuales como en la adaptación positiva en los ambientes normativo sociales.","Aproximaciones al estudio de la deprivación sociocultural desde los sistemas: escuela, familia y comunidad"
"Zilvetty Torrico, Miguel Angel",0,"2023, ",http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2518-82832023000100071&lang=es,"Resumen La educación popular barrial para la acción ambiental en las áreas protegidas municipales en la ciudad de La Paz no debe ser entendida como un campo de estudio sino como un proceso de educación ambiental; por ello, el presente estudio aporta como una herramienta de diagnóstico y un plan de trabajo para múltiples sujetos que viven en la ciudad. Las áreas protegidas municipales son poco conocidas; sin embargo, existe un importante movimiento de instituciones y activistas que promueven su defensa, teniendo una demanda de construir conocimientos de educación ambiental en la práctica de la enseñanza superior, así como en la vida orgánica de varias juntas de vecinos. Se utilizó la metodología de la Investigación Acción Participativa, con un enfoque cualitativo, desde el paradigma sociocrítico, se aplicó el método de investigación de análisis, síntesis y el comparativo. La técnica utilizada fue el grupo focal con participantes de estamentos universitarios, docentes, dirigentes vecinales, funcionarios municipales y activistas medioambientales urbanos. Fueron tres los objetivos específicos y once indicadores. El estudio establece el estatus y beneficios de las áreas protegidas municipales a partir de la información, percepción y formación ambiental; los sujetos detallan los componentes de la acción ambiental que contrarresten las vulnerabilidades en contra de las áreas protegidas municipales conociendo las normas, la responsabilidad ambiental, el compromiso moral, las acciones a favor o la indiferencia. También los participantes hablan de los procesos de educación popular barrial necesarios para una efectiva acción ambiental que contrarresten las vulnerabilidades en contra de las áreas protegidas municipales.",Educación popular barrial para la acción ambiental en las áreas protegidas municipales en la ciudad de La Paz
"Manelli, Matías,Delas, Samanta",0,"2023, ",http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0328-97022023000100236&lang=es,"Resumen La complejidad que los espacios de educación ciudadana deben a su carácter multidisciplinar vuelve relevante el estudio de las concepciones disciplinares que subyacen en los desarrollos curriculares. En este sentido, el presente trabajo se propone analizar las definiciones curriculares sobre la educación para la ciudadanía en el nivel secundario a partir de un estudio comparativo de las jurisdicciones de la Ciudad de Buenos Aires y la provincia de Buenos Aires. En particular, se indagarán las concepciones del derecho que subyacen a los diseños curriculares de cada jurisdicción, teniendo en cuenta los diferentes niveles de gobierno del sistema educativo y la articulación de las iniciativas jurisdiccionales y nacionales en el nivel federal.",Concepciones del derecho en la educación ciudadana en Argentina. Un estudio curricular comparado
"Rodríguez-Flórez, Carlos David",0,"2023, ",http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S1390-86422023000100113&lang=es,"Resumen En Colombia, la Ley General de Educación 115 de 1994 y Ley 1620 de 2013 son elementos que permiten explorar campos de investigación sociocultural en el aula. El objetivo de esta investigación es determinar si existen diferencias entre el concepto de paz entre estudiantes. Se utilizaron registros de ejercicios en clase de 973 niños y niñas entre 10 y 15 años, en la asignatura de Cátedra de Paz en de los grados 6, 7, 8 y 9 de la Institución Educativa José Asunción Silva, Municipio de Palmira, Colombia. Para la observación y registro de la información se aplicó la metodología etnográfica adecuada al contexto educativo. En los casos de las variables Paciencia, Justicia, Acuerdo, Tolerancia, Esperanza, Proteger se rechaza la H0. En esta investigación fue posible identificar dos tipos de conceptos asociados a la paz: estables e inestables. A pesar de las diferencias registradas en el análisis, todos los conceptos hacen parte de la diversidad de significados que nuestra comunidad estudiantil asocia y aplica en el cotidiano proceso de convivencia. En conjunto, este ejercicio permite usar indicadores para evaluar y ajustar elementos pedagógicos y curriculares de mayor relación con el entorno y el contexto particular del aula. A nivel académico permite ampliar la comprensión de la relación entre la comunidad del aula y la comunidad local, facilitando la aplicación de técnicas etnográficas como parte del proceso pedagógico y enriqueciendo la dicotomía enseñanza-aprendizaje.",Ejercicio de investigación en el aula identificando diferencias entre conceptos sobre la paz
"Huertas Diaz, Omar,Parra Contreras, Maria Isabel,Santana de Ángel, Angie Marcela,Blanco Medina, Andrés Mauricio,López Gómez, Paulin Daniela",0,"2023, ",http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2422-42002023000100050&lang=es,"RESUMEN La investigación tuvo como objetivo propiciar una dinámica de construcción y recuperación de la memoria histórica que identifique y documente las voces de las víctimas del conflicto armado del corregimiento de Riachuelo, Santander. La metodologia que guio el proceso fue la investigación acción participativa, de corte cualitativo; además, se usaron tres instrumentos de recolección de información: observación, entrevista semiestructurada y talleres colectivos. Como resultado se presenta la caracterización de las narraciones que los habitantes del corregimiento hacen sobre tres lugares representativos del territorio y en los cuales, durante el conflicto, ejercieron control los grupos paramilitares. En la actualidad, los habitantes del corregimiento se tornan renuentes a conversar sobre el pasado violento, dadas las diferentes interpretaciones y afectaciones que este dejó; no obstante, comparten narraciones sobre El Salto, el colegio y la iglesia como imaginarios culturales, soslayando significados más profundos a través de narraciones mitico-religiosas.","Conflicto armado y construcción de imaginarios e identidades territoriales del corregimiento de Riachuelo, municipio de Charalá, Santander - Colombia"
"Rettberg, Angelika,Dupont, Federico",0,"2023, ",http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-56122023000100205&lang=es,"RESUMEN.  Objetivo/contexto:  La investigación sobre resolución de conflictos armados ha priorizado la pregunta de cómo avanzar hacia que las partes logren acuerdos. La pregunta acerca de qué ocurre después ha recibido menos atención.  Metodología:  En este documento de trabajo ofrecemos una revisión de la literatura académica acerca de los factores que marcan la implementación de acuerdos de paz.  Conclusiones:  Concebimos la implementación como un proceso de múltiples etapas (corto a largo plazo), niveles (de lo internacional a lo local) y dimensiones (incluyendo la política, la economía, la justicia y la cultura). En una fase de implementación, todas ellas deben ser abordadas en paralelo, mientras ejercen impacto mutuo e inciden en su respectivo progreso.  Originalidad:  La revisión general presentada aquí debe servir a académicos y formuladores de política para comprender los múltiples debates y desafíos en el proceso de implementación de acuerdos de paz.",Peace Agreement Implementation (PAI): What Matters? A Review of the Literature
"Arrieta-Flórez, Rosaura,Marún Uparela, Katleen,Torres-Pacheco, Silvana",0,"2023, ",http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2023000100141&lang=es,"Resumen: La firma del Acuerdo de Paz con las Fuerzas Armadas Revolucionarias de Colombia - Ejército del Pueblo (FARC-EP) profundizó el debate sobre la reconstrucción de la memoria como derecho de las víctimas y camino para avanzar en la reconciliación de la sociedad colombiana. Este artículo utiliza los datos del Barómetro de la Reconciliación 2019 del Programa Alianzas para la Reconciliación de la Agencia de los Estados Unidos para el Desarrollo y ACDI/VOCA, para analizar los factores individuales y contextuales que inciden en la percepción individual sobre la reconstrucción de la memoria como una herramienta que aporta a la reconciliación. Se estima un modelo probabilístico cuya variable dependiente es la predisposición hacia la reconstrucción de la memoria como predictor de reconciliación en función de un conjunto de factores individuales y del contexto del conflicto armado colombiano que capturan los efectos de las iniciativas comunitarias y de las instituciones y programas estatales surgidos en el marco de la justicia transicional. Se busca comprobar si las características de los individuos y su forma de relacionarse en un contexto comunitario y municipal moldean la percepción sobre el aporte de la reconstrucción de la memoria a la reconciliación. Los resultados muestran que ser mujer víctima del conflicto armado, desarrollar empatía, residir en municipios con presencia de Lugares de Memoria y la confianza en los procesos de justicia transicional -como el esclarecimiento de la verdad- aumentan la predisposición individual a considerar que la reconstrucción de la memoria aporta a la reconciliación. En contraste, otras políticas y programas surgidos tras el acuerdo, como residir en municipios con Programas de Desarrollo con Enfoque Territorial (PDET) y la presencia de Casas de Verdad, operan en sentido contrario. Este trabajo sugiere desafíos para la justicia transicional al identificar los factores que condicionan las actitudes positivas hacia la reconstrucción de la memoria en procesos de reconciliación y abre la posibilidad de formular acciones con mayor aceptación ciudadana.",Challenges and Possibilities of Memory and Reconciliation: Empirical Evidence for Colombia
"Cabanzo Valencia, Miyerlandy,Gindele, Rebecca",0,"2023, ",http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2023000100081&lang=es,"Resumen: El Acuerdo Final de Paz colombiano es considerado innovador a nivel mundial, debido a la introducción del principio de igualdad de género para su implementación. Su firma ha significado una oportunidad para la incidencia de las organizaciones LGBTI por una paz incluyente y afirmativa que avance en el reconocimiento de sus derechos. Como parte de la implementación territorial y del fortalecimiento de la participación política a nivel local, el acuerdo reformó los Consejos Territoriales de Paz, Reconciliación y Convivencia (CTPRC). Este artículo explora, mediante entrevistas y análisis de documentos, las experiencias locales de participación de las personas LGBTI en la implementación territorial del acuerdo y los CTPRC. Asimismo, reflexiona sobre el impacto de su participación para avanzar en el reconocimiento de sus derechos humanos y la igualdad de la participación. Estas acciones se enmarcan en lo que corrientes contemporáneas de estudios sobre la paz han denominado paz crítica o paz posliberal. El artículo sostiene que los CTPRC, como espacios de participación territorial del acuerdo, han dado un lugar explícito a las personas y organizaciones LGBTI, pero aún falta traducir esta participación en la profundización de sus derechos humanos, en construir una paz heterogénea territorial y asegurar entornos seguros y libres de estigmatización.","Las experiencias de participación de las personas LGBTI en los Consejos Territoriales de Paz, Reconciliación y Convivencia en el marco del Acuerdo Final de Paz en Colombia"
"Zapata, Edwin Alexander Hernandez,Herrera, Milton Danilo Morales,Tapias, Nayib Esther Carrasco",0,"2023, ",http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582023000300208&lang=es,"RESUMEN El artículo es producto de la investigación “Significados del trabajo y prácticas de reintegración laboral en excombatientes”. Su objetivo fue analizar las ideologías en cuanto formaciones discursivas en las que se articularon los motivos de afiliación de excombatientes a grupos armados guerrilleros. Se utilizó un diseño cualitativo, el análisis del discurso como método y la entrevista a profundidad como técnica de generación de información. Los resultados muestran que, las versiones sobre los motivos de afiliación al grupo armado van más allá de la simpatía ideológica mas no de lo ideológico. Se exponen seis motivos de afiliación que se analizan a partir de los efectos de ciertos discursos en la subjetividad de los excombatientes. Se concluye que, el camino hacia la construcción de paz implica nuevas narrativas sobre la comunidad, desvinculadas del individualismo como ethos contemporáneo, asimismo, del paradigma inmunológico y de normalización a partir del cual se ha pensado al excombatiente.",Discurso e Ideología en la Afiliación a Grupos Guerrilleros en Colombia: Más Allá de la Simpatía Ideológica
"Freitas, Fernanda Pereira de Paula,Chiavon, Augusto Cezar Dal,Miranda, Camila Zambam de",0,"2023, ",http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832023000100201&lang=es,"Se trata de un estudio cualitativo sobre el papel de la supervisión académica del Grupo Especial de Supervisión del Proyecto Más Médicos para Brasil de Roraima (GES-RR) durante la pandemia de Covid-19. Se realizó una cartografía, con entrevistas y una ronda de conversaciones. Durante la pandemia, la Atención de la Salud Indígena pasó por reorganizaciones y la supervisión académica del GES-RR se ejerció remotamente, pero mantuvo su relevancia. La acogida a los médicos por parte de los supervisores potencializó la capacidad transformadora de la asistencia y disminuyó la sensación de aislamiento y abandono. El GES-RR fue importante en la mediación de conflictos con la gestión, calificación del trabajo médico, para la reflexión sobre las relaciones y condiciones de trabajo y como espacio privilegiado de Educación Permanente de Salud. El estudio mostró la importancia de los papeles ejercidos y de la retomada presencial en momento oportuno.",Supervisão acadêmica de médicos em áreas indígenas durante a pandemia de Covid-19
"Fuentes, Sonia,Rosário, Pedro,Valdés, Monona,Delgado, Alejandro,Rodríguez, Carlos",0,"2023, ",http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-73782023000100021&lang=es,"RESUMEN: El trabajo docente universitario, cuya meta es contribuir a la sociedad con profesionales de alta calidad, requiere de un proceso formador en que el aprender con efectividad y autonomía es un eje central en todo proceso educativo. Lo que parece una meta natural a alcanzar, no siempre se produce espontáneamente y de manera exitosa. Por ello, el acompañamiento docente es una oportunidad para mediar a la comunidad estudiantil intencionado una docencia inclusiva de manera significativa que aspira a promover el proceso de autonomía desde el aula universitaria. En este artículo presentamos el significado de la docencia mediadora desde la autorregulación del aprendizaje, su relevancia, implicaciones y desafíos para el aprendizaje autónomo e inclusivo en la práctica educativa universitaria y la importancia de promover una implicación efectiva de los docentes en la enseñanza de estrategias de autorregulación del aprendizaje a sus estudiantes, las cuales trascenderán las aulas universitarias proyectándose hacia la propia vida.",Autorregulación del Aprendizaje: Desafío para el Aprendizaje Universitario Autónomo
"Zempoalteca Durán, Beatriz,González Martínez, Juan,Guzmán Flores, Teresa",0,"2023, ",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-61802023000100102&lang=es,"RESUMEN  Derivado del confinamiento por la pandemia mundial de la covid-19, docentes y estudiantes se vieron en la inevitable situación de migrar repentinamente del modelo presencial tradicional hacia los ambientes virtuales, con la exigencia de nuevas competencias y recursos informáticos. En este artículo se planteó el objetivo de describir el desarrollo de la competencia digital docente, los problemas principales que se enfrentaron en la comunidad educativa para incorporarse a los ambientes virtuales, así como las propuestas para desempeñarse de forma expedita en esta modalidad. La investigación se sustentó en una revisión sistemática de artículos científicos referentes a la competencia digital docente en ambientes virtuales de aprendizaje, debido al efecto de la pandemia, en la base de datos Scopus y con apoyo de los sistemas de información científica como Redalyc, Scielo, Dialnet, Elsevier y Google Académico. Los resultados muestran que la competencia digital docente aún no presenta un nivel óptimo, por lo que la propuesta de solución más recurrente es su formación y desarrollo. Ya que a la fecha es incierta la dirección que siguen los actores involucrados en el proceso de enseñanza-aprendizaje, esta investigación culmina planteando una alternativa de solución.",Competencia digital docente para la mediación en ambientes virtuales mixtos
